Analysis.Region,Object.Id,XMin,XMax,YMin,YMax,DAPI..DAPI..Positive.Classification,DAPI..DAPI..Positive.Nucleus.Classification,DAPI..DAPI..Nucleus.Intensity,DAPI..DAPI..Cell.Intensity,M1..Opal.480..Positive.Classification,M1..Opal.480..Positive.Nucleus.Classification,M1..Opal.480..Nucleus.Intensity,M1..Opal.480..Cell.Intensity,M2..Opal.520..Positive.Classification,M2..Opal.520..Positive.Cytoplasm.Classification,M2..Opal.520..Cytoplasm.Intensity,M2..Opal.520..Cell.Intensity,M3..Opal.570..Positive.Classification,M3..Opal.570..Positive.Nucleus.Classification,M3..Opal.570..Nucleus.Intensity,M3..Opal.570..Cell.Intensity,M4..Opal.620..Positive.Classification,M4..Opal.620..Positive.Cytoplasm.Classification,M4..Opal.620..Cytoplasm.Intensity,M4..Opal.620....Cytoplasm.Completeness,M4..Opal.620..Cell.Intensity,M5..Opal.650..Positive.Classification,M5..Opal.650..Positive.Cytoplasm.Classification,M5..Opal.650..Cytoplasm.Intensity,M5..Opal.650..Cell.Intensity,M6..Opal.690..Positive.Classification,M6..Opal.690..Positive.Cytoplasm.Classification,M6..Opal.690..Cytoplasm.Intensity,M6..Opal.690..Cell.Intensity,M7..Opal.780..Positive.Classification,M7..Opal.780..Positive.Cytoplasm.Classification,M7..Opal.780..Cytoplasm.Intensity,M7..Opal.780....Cytoplasm.Completeness,M7..Opal.780..Cell.Intensity,Cell.Area..µm..
Tumour,16,12817,12831,23632,23647,1,1,16.431816,14.158626,0,0,0,0,0,0,0.640596,0.611913,0,0,0.219305,0.213925,0,0,0,0,0,0,0,2.523765,3.567565,0,0,2.16131,3.328592,0,0,0.386629,5.263158,0.390777,41.812485
Tumour,22,12771,12780,23639,23652,1,1,15.423096,13.169993,0,0,0,0.002711,0,0,0.490012,0.488893,0,0,0.208895,0.204489,0,0,0.050362,0,0.012423,0,0,1.768438,1.662125,0,0,1.082154,0.998161,0,0,0.242724,0,0.241955,24.286293
Tumour,49,12872,12882,23688,23700,1,1,8.838852,7.830219,0,0,0.011565,0.012016,0,0,0.521309,0.508376,0,0,0.180277,0.180525,0,0,0,0,0.00975,0,0,2.081809,1.793257,0,0,1.613041,0.981787,0,0,0.225885,0,0.233743,23.034422
Tumour,53,12945,12954,23690,23699,1,1,37.20752,30.742542,0,0,0,0,0,0,0.628288,0.651259,0,0,0.469505,0.427539,0,0,0,0,0.000344,0,0,2.403533,2.16201,0,0,2.099471,1.722005,0,0,0.299184,0,0.294117,22.032925
Tumour,57,12595,12604,23698,23710,1,1,11.734873,9.943928,0,0,1.2e-05,9e-06,0,0,0.440029,0.478785,0,0,0.258081,0.263247,0,0,0.002597,0,0.000746,0,0,2.639368,2.842551,0,0,1.704732,2.091975,0,0,0.394425,28,0.363872,21.78255
Tumour,58,13134,13154,23698,23707,1,1,37.79611,30.748293,0,0,0,0,0,0,0.628432,0.690143,0,0,0.32627,0.32321,0,0,0.011736,0,0.006614,0,0,2.374815,4.290007,0,0,2.164164,4.031038,0,0,0.379949,2.173913,0.407142,42.313232
Tumour,63,13185,13200,23702,23712,1,1,10.501209,8.650157,0,0,0.000676,0.000596,0,0,0.526915,0.556445,0,0,0.202134,0.200717,0,0,0.002973,0,0.001406,0,0,1.156001,1.588151,0,0,0.402481,1.016082,0,0,0.291684,0,0.343832,35.803505
Tumour,64,13158,13169,23704,23718,1,1,7.064437,6.60486,0,0,0,0,0,0,0.501765,0.51472,0,0,0.211555,0.21857,0,0,0.052933,0,0.021998,0,0,1.109004,1.014612,0,0,0.169944,0.199122,0,0,0.275571,0,0.265354,29.293776
Tumour,67,12913,12930,23707,23717,1,1,33.640343,27.979267,0,0,0.011257,0.016627,0,0,0.512951,0.623846,0,0,0.251937,0.235042,0,0,0.017755,0,0.003934,0,0,1.475547,1.888198,0,0,0.88328,1.151282,0,0,0.262087,0,0.298887,41.812485
Tumour,78,12685,12703,23718,23734,1,1,18.927595,17.228373,0,0,0.016812,0.016517,0,0,0.613324,0.671006,0,0,0.508835,0.493372,0,0,0.16585,0,0.086744,0,0,4.169881,4.706663,0,0,3.309168,3.903134,0,0,0.337732,8,0.316992,57.335682
